"city","live_pincode","has_trainer","nearest_live_with_trainer"
"bangalore","560056","NO","560032"
"bangalore","560057","NO","560032"
"bangalore","560058","NO","560032"
"bangalore","560059","NO","560032"
"bangalore","560060","NO","560032"
"bangalore","560061","NO","560032"
"bangalore","560062","NO","560032"
"bangalore","560063","NO","560032"
"bangalore","560064","NO","560032"
"bangalore","560065","NO","560032"
"bangalore","560066","NO","560032"
"bangalore","560067","NO","560032"
"bangalore","560068","NO","560032"
"bangalore","560069","NO","560032"
"bangalore","560070","NO","560032"
"bangalore","560071","NO","560032"
"bangalore","560072","NO","560032"
"bangalore","560073","NO","560032"
"bangalore","560074","NO","560032"
"bangalore","560075","NO","560032"
"bangalore","560076","NO","560032"
"bangalore","560077","NO","560032"
"bangalore","560078","NO","560032"
"bangalore","560079","NO","560032"
"bangalore","560080","NO","560032"
"bangalore","560081","NO","560032"
"bangalore","560082","NO","560032"
"bangalore","560083","NO","560032"
"bangalore","560084","NO","560032"
"bangalore","560085","NO","560032"
"bangalore","560086","NO","560032"
"bangalore","560087","NO","560032"
"bangalore","560088","NO","560032"
"bangalore","560089","NO","560032"
"bangalore","560090","NO","560032"
"bangalore","560091","NO","560032"
"bangalore","560092","NO","560032"
"bangalore","560093","NO","560032"
"bangalore","560094","NO","560032"
"bangalore","560095","NO","560032"
"bangalore","560096","NO","560032"
"bangalore","560097","NO","560032"
"bangalore","560098","NO","560032"
"bangalore","560099","NO","560032"
"bangalore","560100","NO","560032"
"hyderabad","500011","NO","500010"
"hyderabad","500012","NO","500010"
"hyderabad","500013","NO","500010"
"hyderabad","500014","NO","500010"
"hyderabad","500015","NO","500010"
"hyderabad","500016","NO","500010"
"hyderabad","500017","NO","500010"
"hyderabad","500018","NO","500010"
"hyderabad","500019","NO","500010"
"hyderabad","500020","NO","500010"
"hyderabad","500021","NO","500010"
"hyderabad","500022","NO","500010"
"hyderabad","500023","NO","500010"
"hyderabad","500024","NO","500010"
"hyderabad","500025","NO","500010"
"hyderabad","500026","NO","500010"
"hyderabad","500027","NO","500010"
"hyderabad","500028","NO","500010"
"hyderabad","500029","NO","500010"
"hyderabad","500030","NO","500010"
"hyderabad","500031","NO","500010"
"hyderabad","500032","NO","500010"
"hyderabad","500033","NO","500010"
"hyderabad","500034","NO","500010"
"hyderabad","500035","NO","500010"
"hyderabad","500036","NO","500010"
"hyderabad","500037","NO","500010"
"hyderabad","500038","NO","500010"
"hyderabad","500039","NO","500010"
"hyderabad","500040","NO","500010"
"hyderabad","500041","NO","500010"
"hyderabad","500042","NO","500010"
"hyderabad","500043","NO","500010"
"hyderabad","500044","NO","500010"
"hyderabad","500045","NO","500010"
"hyderabad","500046","NO","500010"
"hyderabad","500047","NO","500010"
"hyderabad","500048","NO","500010"
"hyderabad","500049","NO","500010"
"hyderabad","500050","NO","500010"
"hyderabad","500051","NO","500010"
"hyderabad","500052","NO","500010"
"hyderabad","500053","NO","500010"
"hyderabad","500054","NO","500010"
"hyderabad","500055","NO","500010"
"hyderabad","500056","NO","500010"
"hyderabad","500057","NO","500010"
"hyderabad","500058","NO","500010"
"hyderabad","500059","NO","500010"
"hyderabad","500060","NO","500010"
"hyderabad","500061","NO","500010"
"hyderabad","500062","NO","500010"
"hyderabad","500063","NO","500010"
"hyderabad","500064","NO","500010"
"hyderabad","500065","NO","500010"
"hyderabad","500066","NO","500010"
"hyderabad","500067","NO","500010"
"hyderabad","500068","NO","500010"
"hyderabad","500069","NO","500010"
"hyderabad","500070","NO","500010"
"hyderabad","500071","NO","500010"
"hyderabad","500072","NO","500010"
"hyderabad","500073","NO","500010"
"hyderabad","500074","NO","500010"
"hyderabad","500075","NO","500010"
"hyderabad","500076","NO","500010"
"hyderabad","500077","NO","500010"
"hyderabad","500078","NO","500010"
"hyderabad","500079","NO","500010"
"hyderabad","500080","NO","500010"
"hyderabad","500081","NO","500010"
"hyderabad","500082","NO","500010"
"hyderabad","500083","NO","500010"
"hyderabad","500084","NO","500010"
"hyderabad","500085","NO","500010"
"hyderabad","500086","NO","500010"
"hyderabad","500087","NO","500010"
"hyderabad","500088","NO","500010"
"hyderabad","500089","NO","500010"
"hyderabad","500090","NO","500010"
"hyderabad","500091","NO","500010"
"hyderabad","500092","NO","500010"
"hyderabad","500093","NO","500010"
"hyderabad","500094","NO","500010"
"hyderabad","500095","NO","500010"
"chennai","600011","NO","600010"
"chennai","600012","NO","600010"
"chennai","600013","NO","600010"
"chennai","600014","NO","600010"
"chennai","600015","NO","600010"
"chennai","600016","NO","600010"
"chennai","600017","NO","600010"
"chennai","600018","NO","600010"
"chennai","600019","NO","600010"
"chennai","600020","NO","600010"
"chennai","600021","NO","600010"
"chennai","600022","NO","600010"
"chennai","600023","NO","600010"
"chennai","600024","NO","600010"
"chennai","600025","NO","600010"
"chennai","600026","NO","600010"
"chennai","600027","NO","600010"
"chennai","600028","NO","600010"
"chennai","600029","NO","600010"
"chennai","600030","NO","600010"
"chennai","600031","NO","600010"
"chennai","600032","NO","600010"
"chennai","600033","NO","600010"
"chennai","600034","NO","600010"
"chennai","600035","NO","600010"
"chennai","600036","NO","600010"
"chennai","600037","NO","600010"
"chennai","600038","NO","600010"
"chennai","600039","NO","600010"
"chennai","600040","NO","600010"
"chennai","600041","NO","600010"
"chennai","600042","NO","600010"
"chennai","600043","NO","600010"
"chennai","600044","NO","600010"
"chennai","600045","NO","600010"
"chennai","600046","NO","600010"
"chennai","600047","NO","600010"
"chennai","600048","NO","600010"
"chennai","600049","NO","600010"
"chennai","600050","NO","600010"
"chennai","600051","NO","600010"
"chennai","600052","NO","600010"
"chennai","600053","NO","600010"
"chennai","600054","NO","600010"
"chennai","600055","NO","600010"
"chennai","600056","NO","600010"
"chennai","600057","NO","600010"
"chennai","600058","NO","600010"
"chennai","600059","NO","600010"
"chennai","600060","NO","600010"
"chennai","600061","NO","600010"
"chennai","600062","NO","600010"
"chennai","600063","NO","600010"
"chennai","600064","NO","600010"
"chennai","600065","NO","600010"
"chennai","600066","NO","600010"
"chennai","600067","NO","600010"
"chennai","600068","NO","600010"
"chennai","600069","NO","600010"
"chennai","600070","NO","600010"
"chennai","600071","NO","600010"
"chennai","600072","NO","600010"
"chennai","600073","NO","600010"
"chennai","600074","NO","600010"
"chennai","600075","NO","600010"
"chennai","600076","NO","600010"
"chennai","600077","NO","600010"
"chennai","600078","NO","600010"
"chennai","600079","NO","600010"
"chennai","600080","NO","600010"
"chennai","600081","NO","600010"
"chennai","600082","NO","600010"
"chennai","600083","NO","600010"
"chennai","600084","NO","600010"
"chennai","600085","NO","600010"
"chennai","600086","NO","600010"
"chennai","600087","NO","600010"
"chennai","600088","NO","600010"
"chennai","600089","NO","600010"
"chennai","600090","NO","600010"
"chennai","600091","NO","600010"
"chennai","600092","NO","600010"
"chennai","600093","NO","600010"
"chennai","600094","NO","600010"
"chennai","600095","NO","600010"
"chennai","600096","NO","600010"
"chennai","600097","NO","600010"
"chennai","600098","NO","600010"
"chennai","600099","NO","600010"
"chennai","600100","NO","600010"
"chennai","600101","NO","600010"
"chennai","600102","NO","600010"
"chennai","600103","NO","600010"
"chennai","600104","NO","600010"
"chennai","600105","NO","600010"
"chennai","600106","NO","600010"
"chennai","600107","NO","600010"
"chennai","600108","NO","600010"
"chennai","600109","NO","600010"
"chennai","600110","NO","600010"
"chennai","600111","NO","600010"
"chennai","600112","NO","600010"
"chennai","600113","NO","600010"
"chennai","600114","NO","600010"
"chennai","600115","NO","600010"
"chennai","600116","NO","600010"
